Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
meatball1001,ប្រហិត 65 អត់វាត់កៅស៊ូ ថង់ធំអ៊ុត,110011,Kg,0,0,,,,,,,,,,,,,,,,
meatball1002,ប្រហិត 75 វាត់កៅស៊ូកណ្តាល ថង់ធំអ៊ុត,110011,Kg,0,0,,,,,,,,,,,,,,,,
meatball1003,ប្រហិត 85 វាត់កៅស៊ូប្រឈរ ថង់ធំអ៊ុត,110011,Kg,0,0,,,,,,,,,,,,,,,,
meatball1004,ប្រហិត 110 អត់វាត់កៅស៊ូ ថង់ធំអ៊ុត,110011,Kg,0,0,,,,,,,,,,,,,,,,
meatball1005,ប្រហិត 65 អត់វាត់កៅស៊ូថង់ធំមានមាក,110012,Kg,0,0,,,,,,,,,,,,,,,,
meatball1006,ប្រហិត 75វាត់កៅស៊ូកណ្តាលថង់ធំមានមាក,110012,Kg,0,0,,,,,,,,,,,,,,,,
meatball1007,ប្រហិត 85 វាត់កៅស៊ូប្រឈរថង់ធំមានមាក,110012,Kg,0,0,,,,,,,,,,,,,,,,
meatball1008,ប្រហិត 110 អត់វាត់កៅស៊ូថង់ធំមានមាក,110012,Kg,0,0,,,,,,,,,,,,,,,,
meatball1009,ប្រហិត 140 វាត់កៅស៊ូកណ្តាលថង់ធំមានមាក,110012,Kg,0,0,,,,,,,,,,,,,,,,
meatball1010,ប្រហិត 160 អត់វាត់អីទេថង់ធំមានមាក,110012,Kg,0,0,,,,,,,,,,,,,,,,
meatball1011,ប្រហិត 65 អត់វាត់កៅស៊ូថង់ធំអត់មាក,110013,Kg,0,0,,,,,,,,,,,,,,,,
meatball1012,ប្រហិត 75 វាត់កៅស៊ូកណ្តាលថង់ធំអត់មាក,110013,Kg,0,0,,,,,,,,,,,,,,,,
meatball1013,ប្រហិត 85 វាត់កៅស៊ូប្រឈរថង់ធំអត់មាក,110013,Kg,0,0,,,,,,,,,,,,,,,,
meatball1014,ប្រហិត 160 អត់វាត់អីទេថង់ធំអត់មាក,110013,Kg,0,0,,,,,,,,,,,,,,,,
meatball2001,ប្រហិតលេខ2 85 អត់វាត់អីទេថង់ធំអត់មាក,110014,Kg,0,0,,,,,,,,,,,,,,,,
meatball2002,ប្រហិតលេខ2 110 វាត់កៅស៊ូខ្វែងថង់ធំអត់មាក,110014,Kg,0,0,,,,,,,,,,,,,,,,
meatball2003,ប្រហិតលេខ2 160 វាត់កៅស៊ូខ្វែងថង់ធំអត់មាក,110014,Kg,0,0,,,,,,,,,,,,,,,,
meatball2004,ប្រហិតពិសេស 98 អត់វាត់អីទេ ថង់ធំមានមាក,110015,Kg,0,0,,,,,,,,,,,,,,,,
meatball2005,ប្រហិតពិសេស​​24 អត់វាត់អីទេ ថង់ធំមានមាក,110015,Kg,0,0,,,,,,,,,,,,,,,,
meatball2006,ប្រហិត គ្រាប់ធំ ថង់រាយថង់តូចអ៊ុត,110016,Kg,0,0,,,,,,,,,,,,,,,,
meatball2007,ប្រហិត គ្រាប់តូចថង់រាយថង់តូចអ៊ុត,110016,Kg,0,0,,,,,,,,,,,,,,,,
meatball2008,ប្រហិតលេខ2 គ្រាប់តូចអត់វាត់អីទេថង់ធំមានមាក,110016,Kg,0,0,,,,,,,,,,,,,,,,
meatball2009,បាក់សៀបថង់តូចមានមាក,110016,Kg,0,0,,,,,,,,,,,,,,,,
material001,សាច់គោ,110017,Kg,0,0,,,,,,,,,,,,,,,,
material002,សាច់ជ្រូក,110017,Kg,0,0,,,,,,,,,,,,,,,,
material003,ម្សៅ,110017,Kg,0,0,,,,,,,,,,,,,,,,
material004,ស្ករ,110017,Kg,0,0,,,,,,,,,,,,,,,,
material005,អំបិល,110017,Kg,0,0,,,,,,,,,,,,,,,,
material006,បីចេង,110017,Kg,0,0,,,,,,,,,,,,,,,,
material007,ខ្លាញ់គោ,110017,Kg,0,0,,,,,,,,,,,,,,,,
material008,ខ្លាញ់គោ,110017,Kg,0,0,,,,,,,,,,,,,,,,
material009,ថង់ធំអ៊ុត,110018,Kg,0,0,,,,,,,,,,,,,,,,
material010,ថង់តូចអ៊ុត,110018,Kg,0,0,,,,,,,,,,,,,,,,
material011,ថង់ធំមានមាក,110018,Kg,0,0,,,,,,,,,,,,,,,,
material012,ថង់តូចមានមាក,110018,Kg,0,0,,,,,,,,,,,,,,,,
material013,ថង់ធំអត់មាក,110018,Kg,0,0,,,,,,,,,,,,,,,,
material014,ថង់តូចអត់មាក,110018,Kg,0,0,,,,,,,,,,,,,,,,
